The Shortest path from Node 1695577 at (577, 339) to Node 2055619 at (619, 411)
Format: (node_index, x, y)
{X=577,Y=339},577,339)
{X=578,Y=339},578,339)
{X=579,Y=339},579,339)
{X=580,Y=339},580,339)
{X=581,Y=339},581,339)
{X=582,Y=339},582,339)
{X=583,Y=339},583,339)
{X=584,Y=339},584,339)
{X=585,Y=339},585,339)
{X=586,Y=339},586,339)
{X=587,Y=339},587,339)
{X=588,Y=339},588,339)
{X=589,Y=339},589,339)
{X=590,Y=339},590,339)
{X=591,Y=339},591,339)
{X=591,Y=340},591,340)
{X=591,Y=341},591,341)
{X=591,Y=342},591,342)
{X=592,Y=342},592,342)
{X=592,Y=343},592,343)
{X=592,Y=344},592,344)
{X=592,Y=345},592,345)
{X=592,Y=346},592,346)
{X=592,Y=347},592,347)
{X=592,Y=348},592,348)
{X=593,Y=348},593,348)
{X=593,Y=349},593,349)
{X=594,Y=349},594,349)
{X=595,Y=349},595,349)
{X=595,Y=350},595,350)
{X=595,Y=351},595,351)
{X=595,Y=352},595,352)
{X=596,Y=352},596,352)
{X=596,Y=353},596,353)
{X=597,Y=353},597,353)
{X=597,Y=354},597,354)
{X=598,Y=354},598,354)
{X=598,Y=355},598,355)
{X=598,Y=356},598,356)
{X=598,Y=357},598,357)
{X=598,Y=358},598,358)
{X=598,Y=359},598,359)
{X=598,Y=360},598,360)
{X=598,Y=361},598,361)
{X=598,Y=362},598,362)
{X=598,Y=363},598,363)
{X=598,Y=364},598,364)
{X=598,Y=365},598,365)
{X=598,Y=366},598,366)
{X=598,Y=367},598,367)
{X=598,Y=368},598,368)
{X=598,Y=369},598,369)
{X=598,Y=370},598,370)
{X=598,Y=371},598,371)
{X=598,Y=372},598,372)
{X=598,Y=373},598,373)
{X=598,Y=374},598,374)
{X=598,Y=375},598,375)
{X=598,Y=376},598,376)
{X=599,Y=376},599,376)
{X=600,Y=376},600,376)
{X=601,Y=376},601,376)
{X=601,Y=377},601,377)
{X=601,Y=378},601,378)
{X=602,Y=378},602,378)
{X=603,Y=378},603,378)
{X=604,Y=378},604,378)
{X=604,Y=379},604,379)
{X=605,Y=379},605,379)
{X=606,Y=379},606,379)
{X=607,Y=379},607,379)
{X=608,Y=379},608,379)
{X=609,Y=379},609,379)
{X=610,Y=379},610,379)
{X=611,Y=379},611,379)
{X=612,Y=379},612,379)
{X=613,Y=379},613,379)
{X=614,Y=379},614,379)
{X=614,Y=380},614,380)
{X=615,Y=380},615,380)
{X=615,Y=381},615,381)
{X=615,Y=382},615,382)
{X=615,Y=383},615,383)
{X=615,Y=384},615,384)
{X=615,Y=385},615,385)
{X=615,Y=386},615,386)
{X=615,Y=387},615,387)
{X=615,Y=388},615,388)
{X=615,Y=389},615,389)
{X=615,Y=390},615,390)
{X=615,Y=391},615,391)
{X=615,Y=392},615,392)
{X=615,Y=393},615,393)
{X=615,Y=394},615,394)
{X=615,Y=395},615,395)
{X=615,Y=396},615,396)
{X=615,Y=397},615,397)
{X=615,Y=398},615,398)
{X=615,Y=399},615,399)
{X=615,Y=400},615,400)
{X=615,Y=401},615,401)
{X=615,Y=402},615,402)
{X=615,Y=403},615,403)
{X=615,Y=404},615,404)
{X=615,Y=405},615,405)
{X=615,Y=406},615,406)
{X=616,Y=406},616,406)
{X=616,Y=407},616,407)
{X=616,Y=408},616,408)
{X=617,Y=408},617,408)
{X=617,Y=409},617,409)
{X=617,Y=410},617,410)
{X=616,Y=410},616,410)
{X=616,Y=411},616,411)
{X=616,Y=412},616,412)
{X=615,Y=412},615,412)
{X=614,Y=412},614,412)
{X=614,Y=413},614,413)
{X=614,Y=414},614,414)
{X=615,Y=414},615,414)
{X=616,Y=414},616,414)
{X=616,Y=413},616,413)
{X=617,Y=413},617,413)
{X=617,Y=412},617,412)
{X=618,Y=412},618,412)
{X=619,Y=412},619,412)
{X=619,Y=411},619,411)
Path construction took: 1.560917 seconds.
